Project Name,Location,Square Feet,Flat Type,Property Type,Price,Possession Status,Amenities
Aparna Cyber Star,Osman Nagar,1839,3 BHK,apartment,₹ 1.17 Cr,Under Construction,"Prime Location, Affordable, Family"
Aparna Zenon,Puppalaguda,1690,3 BHK,,₹ 1.63 Cr,Under Construction,"Affordable, Family"
Aparna Kanopy Tulip,Kompally,1010,2 BHK,apartment,₹ 65 L,Ready To Move,Gated Society
Neknampur,Neknampur,1300,3 BHK,,₹ 65 L,Ready To Move,
SMR Vinay Iconia Hyderabad,Kondapur,1400,2 BHK,apartment,₹ 1.16 Cr,Ready To Move,"Prime Location, Family"
Rajapushpa Provincia,Narsingi,2020,3 BHK,apartment,₹ 2.16 Cr,Under Construction,"Gated Society, Affordable, Family"
Rajapushpa Provincia,Narsingi,2660,3 BHK,,₹ 53.73 L,Under Construction,"Affordable, Family"
Gem Nakshatra,Kokapet,1640,3 BHK,apartment,₹ 1.24 Cr,Under Construction,"Gated Society, Prime Location, Family"
Bachupally,Bachupally,1105,2 BHK,apartment,₹ 79 L,Ready To Move,"Safe & Secure Locality, Affordable, Family"
Sadodita Crystal,Nagaram Secunderabad,1380,3 BHK,,₹ 62 L,Ready To Move,Family
Hastinapuram,Hastinapuram,1206,2 BHK,apartment,₹ 67 L,Ready To Move,"Prime Location, Affordable, Family"
RSR The Garden View Apartments,Kollur,2320,5 BHK,,₹ 77 L,Under Construction,"Gated Society, Family"
Modi Elegance,Kukatpally,1003,2 BHK,,₹ 51.11 L,Ready To Move,
DSR The Classe,Narsingi,3939,4 BHK,apartment,₹ 4.2 Cr,Ready To Move,Family
Candeur,Miyapur,1259,402 BHK,,₹ 1.15 Cr,Ready To Move,"Gated Society, Family"
The Prestige City Hyderabad,Rajendra Nagar,3348,4 BHK,,₹ 2.51 Cr,Under Construction,"Affordable, Family"
Nagaram Secunderabad,Nagaram Secunderabad,1127,2 BHK,,₹ 52 L,Ready To Move,"Prime Location, Family"
Jain Sri Ram Garden,Kompally,1240,2 BHK,apartment,₹ 80.6 L,Under Construction,Gated Society
SMR Vinay Iconia Hyderabad,Kondapur,2367,3 BHK,apartment,₹ 2.25 Cr,Ready To Move,"Prime Location, Family"
Kollur,Kollur,1323,2 BHK,,₹ 76 L,Under Construction,"Gated Society, Affordable, Family"
Trendset Rythme,Kondapur,1990,3 BHK,apartment,₹ 2.2 Cr,Ready To Move,
Gem Nakshatra,Kokapet,1810,3 BHK,,₹ 1.37 Cr,Under Construction,Prime Location
Ideas Shoba Nath,Annojiguda,1504,3 BHK,apartment,₹ 1.15 Cr,Ready To Move,
Aspire Spaces Ameya,Miyapur,1715,3 BHK,apartment,₹ 1.08 Cr,Ready To Move,
Urbanrise Spring Is In The Air,Ameenpur,810,2 BHK,apartment,₹ 44.55 L,Ready To Move,
Vasudeva Bloomfield Arcadia,Hafeezpet,1390,2 BHK,apartment,₹ 70 L,Ready To Move,
My Home Tridasa,Tellapur,1840,3 BHK,apartment,₹ 2.05 Cr,Ready To Move,
Goldenkey Meraki,Miyapur,1135,2 BHK,apartment,₹ 66.95 L,Under Construction,
Urbanrise The World of Joy,Miyapur,1348,2 BHK,,₹ 98.39 L,Ready To Move,
Mantri Celestia,Gachibowli,980,2 BHK,apartment,₹ 90 L,Ready To Move,
Haneesh Shritha Ortus,Kukatpally,1730,3 BHK,apartment,₹ 1.5 Cr,Under Construction,"Prime Location, Gated Society, Family"
Aparna Cyber Shine,Osman Nagar,1824,3 BHK,apartment,₹ 1.09 Cr,Under Construction,"Affordable, Family"
Elegant Nivasa,Kollur,2205,3 BHK,,₹ 1.5 Cr,Under Construction,Family
Ecil,Ecil,1250,2 BHK,apartment,₹ 56 L,Ready To Move,Family
Rajapushpa Infina,Manchirevula,4425,4 BHK,,₹ 3.18 Cr,Under Construction,Prime Location
Kokapet,Kokapet,1555,3 BHK,apartment,₹ 1.32 Cr,Under Construction,"Affordable, Family"
AR Avenue Hyderabad,Sadashivpet,1200,3 BHK,apartment,₹ 80 L,Ready To Move,
Sai Apartment Hyderabad,Attapur,1200,3 BHK,Apartment,₹ 70 L,Ready To Move,
Honer Aquantis,Gopanpally,1610,3 BHK,apartment,₹ 1.20 Cr,Under Construction,"Prime Location, Affordable, Family"
EAPL Sri Tirumala Prestige,Banjara Hills,1950,3 BHK,,₹ 1.75 Cr,Ready To Move,Prime Location
Sai Apartment Hyderabad,Attapur,1200,3 BHK,Apartment,₹ 70 L,Ready To Move,
Kokapet,Kokapet,2200,3 BHK,,₹ 1.65 Cr,Ready To Move,Prime Location
Mahathi Jaswitha Cyber Connect,Kondapur,1580,3 BHK,apartment,₹ 1.18 Cr,Ready To Move,"Prime Location, Affordable, Family"
INDIS Viva City,Kondapur,1955,3 BHK,,₹ 1.66 Cr,,"Affordable, Family"
Endeco TS Heights,Moti Nagar,1830,3 BHK,apartment,₹ 1.6 Cr,Under Construction,"Gated Society, Safe & Secure Locality, Family"
Prestige Tranquil,Kokapet,2049,5 BHK,apartment,₹ 2.3 Cr,Ready To Move,Prime Location
Aparna Zenon,Puppalaguda,1326,2 BHK,apartment,₹ 1.39 Cr,Under Construction,Gated Society
Lake Residency,Somajiguda,1640,3 BHK,apartment,₹ 1.1 Cr,Ready To Move,"Prime Location, Safe & Secure Locality, Affordable, Family"
Urbanrise The World of Joy,Miyapur,1348,2 BHK,apartment,₹ 1.2 Cr,Under Construction,"Gated Society, Safe & Secure Locality, Affordable, Family"
Nirvana Homes Hyderabad,Koheda,1100,3 BHK,apartment,₹ 80 L,Ready To Move,
