Project Name,Location,Square Feet,Flat Type,Property Type,Price,Possession Status,Amenities
Lanco Hills Apartments,Manikonda,2785,3 BHK,apartment,₹ 2.7 Cr,Ready To Move,"Prime Location, Gated Society, Safe & Secure Locality, Family"
Lansum Etania,Gachibowli,2450,3 BHK,apartment,₹ 3.1 Cr,Ready To Move,"Prime Location, Family"
Niharika Skyline,Khajaguda,2105,3 BHK,apartment,₹ 2.48 Cr,Ready To Move,"Affordable, Family"
RNP,Kondapur,1510,13 BHK,apartment,₹ 1.32 Cr,Under Construction,"Prime Location, Gated Society, Affordable"
VB City,Bolarum,842,2 BHK,apartment,₹ 56 L,Ready To Move,
Technopolis Solitaire Unity,Hafeezpet,1715,3 BHK,apartment,₹ 1.65 Cr,Ready To Move,Affordable
Candeur Twins,Miyapur,1590,3 BHK,apartment,₹ 1.4 Cr,Under Construction,"Prime Location, Gated Society, Family"
Namitha,Kothaguda,2427,3 BHK,,₹ 2.2 Cr,Under Construction,"Prime Location, Gated Society, Affordable, Family"
Sumadhuras Gardens By The Brook,Shamshabad,1625,3 BHK,apartment,₹ 1.23 Cr,Under Construction,"Gated Society, Prime Location, Gated Society, Prime Location"
Lanco Hills Apartments,Manikonda,2765,3 BHK,,₹ 2.54 Cr,Ready To Move,Safe & Secure Locality
Prestige High Fields,Gachibowli,1283,2 BHK,,₹ 1.75 Cr,Ready To Move,Family
EIPL Corner Stone,Gandipet,2065,3 BHK,apartment,₹ 1.9 Cr,Ready To Move,"Gated Society, Affordable, Family"
Oak Springs,Kondapur,1510,3 BHK,,₹ 1.1 Cr,Ready To Move,"Prime Location, Affordable, Family"
Rajapushpa Provincia,Narsingi,1370,2 BHK,,₹ 1.4 Cr,Under Construction,Family
My Home Vihanga,Gachibowli,1275,2 BHK,,₹ 1.6 Cr,Ready To Move,"Prime Location, Gated Society, Safe & Secure Locality"
Ambience Courtyard,Manikonda,1340,5 BHK,apartment,₹ 1.26 Cr,Ready To Move,Prime Location
Team,Miyapur,1200,2 BHK,,₹ 91.5 L,Under Construction,"Gated Society, Prime Location"
SMR Vinay Iconia Hyderabad,Kondapur,1400,2 BHK,,₹ 1.15 Cr,Ready To Move,"Prime Location, Family"
Modi Elegance,Kukatpally,1003,2 BHK,,₹ 49.99 L,Ready To Move,
Aditya Empress Heights,Shaikpet,1388,2 BHK,apartment,₹ 1.2 Cr,Ready To Move,"Safe & Secure Locality, Family"
Aparna Sarovar Zicon,Nallagandla,798,2 BHK,apartment,₹ 1.4 Cr,Ready To Move,"Prime Location, Affordable"
My Home Bhooja,Hi Tech City,2595,3 BHK,,₹ 5.7 Cr,Ready To Move,"Prime Location, Safe & Secure Locality, Family"
Sai Balaji Residency Nizampet,Nizampet,1100,2 BHK,,₹ 89 L,Ready To Move,"Prime Location, Safe & Secure Locality"
Vasu Sri Pride,Dundigal,1175,2 BHK,apartment,₹ 58.9 L,Ready To Move,Safe & Secure Locality
Shivantha Gardenia,Isnapur,895,2 BHK,apartment,₹ 43 L,Under Construction,
NCC Urban Gardenia,Gachibowli,3448,4 BHK,apartment,₹ 4.72 Cr,,"Prime Location, Gated Society, Safe & Secure Locality, Family"
My Home Navadweepa,Madhapur,1250,2 BHK,,₹ 1.7 Cr,Ready To Move,"Prime Location, Gated Society"
NCC Urban One,Narsingi,2630,3 BHK,apartment,₹ 2.45 Cr,Ready To Move,"Prime Location, Gated Society, Safe & Secure Locality"
Vasavi Atlantis,Narsingi,3330,5 BHK,,₹ 2.73 Cr,Ready To Move,Safe & Secure Locality
Team,Miyapur,1330,5 BHK,apartment,₹ 93.1 L,Ready To Move,Safe & Secure Locality
TMSR Skyler,Bachupally,1330,5 BHK,apartment,₹ 86.45 L,Ready To Move,Gated Society
GS Infra Setty Yellow Meadows,Dundigal,905,2 BHK,apartment,₹ 44 L,Ready To Move,"Gated Society, Safe & Secure Locality, Affordable"
Lanco Hills Apartments,Manikonda,2765,3 BHK,,₹ 2.8 Cr,Ready To Move,"Affordable, Family"
Alpine GMR Springfield,Turkapally,1058,2 BHK,,₹ 69 L,Ready To Move,"Gated Society, Affordable"
Canny Forest Edge,Bachupally,1285,2 BHK,,₹ 77.5 L,Ready To Move,"Gated Society, Affordable"
Western Springs,Puppalaguda,2377,3 BHK,,₹ 2.37 Cr,Under Construction,"Prime Location, Safe & Secure Locality"
Vasavi Atlantis,Narsingi,2190,3 BHK,,₹ 1.53 Cr,Under Construction,
Sukhii Sree Sumeru,Uppal,1680,3 BHK,apartment,₹ 1.36 Cr,Ready To Move,Prime Location
Sri Aditya Vantage,Manchirevula,8300,4 BHK,,₹ 9.95 Cr,Under Construction,"Prime Location, Gated Society"
SAS Diamond Towers,Financial District,3740,4 BHK,,₹ 3.55 Cr,Under Construction,Prime Location
Ideas Shoba Nath,Annojiguda,1575,3 BHK,apartment,₹ 1.15 Cr,Ready To Move,
Sunshine Destino,Puppalaguda,3025,3 BHK,,₹ 2.41 Cr,Ready To Move,Safe & Secure Locality
Sri Aditya Vantage,Manchirevula,6546,4 BHK,,₹ 8.5 Cr,Under Construction,"Prime Location, Family"
Harihara Sri Sai Anandamai,Uppal,1078,2 BHK,apartment,₹ 59.29 L,Ready To Move,Prime Location
DSR The Classe,Narsingi,3939,4 BHK,apartment,₹ 4.1 Cr,Ready To Move,Affordable
Bollineni Bion,Kothaguda,1965,3 BHK,,₹ 2.5 Cr,Ready To Move,
Aparna Serene Park,Kondapur,2250,3 BHK,,₹ 2.85 Cr,Ready To Move,"Affordable, Family"
Supadha Gamya,Tellapur,2430,3 BHK,,₹ 1.53 Cr,Under Construction,"Gated Society, Prime Location"
Vasavi GP Trends,Nanakramguda,1845,3 BHK,apartment,₹ 1.9 Cr,Ready To Move,"Gated Society, Affordable"
Rajapushpa Infina,Manchirevula,5725,4 BHK,,₹ 4.12 Cr,Under Construction,Prime Location
Pradeep Bliss,Somajiguda,3289,3 BHK,,₹ 5.75 Cr,Ready To Move,"Gated Society, Prime Location, Family"
Myscape Sanctuary,Hafeezpet,1222,2 BHK,apartment,₹ 1.31 Cr,Ready To Move,Prime Location
Garuda Grandeur,Bowrampet,1502,3 BHK,apartment,₹ 85 L,Ready To Move,"Affordable, Safe & Secure Locality"
Garuda Grandeur,Bowrampet,1139,2 BHK,apartment,₹ 66 L,Ready To Move,"Prime Location, Family"
Ark Samyak,Bachupally,1550,3 BHK,apartment,₹ 1.00 Cr,Under Construction,"Prime Location, Safe & Secure Locality, Family"
MCOR Vilaasam,Ameenpur,1100,2 BHK,,₹ 63.8 L,Ready To Move,"Gated Society, Prime Location"
My Home Bhooja,Hi Tech City,2595,3 BHK,apartment,₹ 5.2 Cr,Ready To Move,"Prime Location, Family"
Canny Forest Edge,Bachupally,1285,2 BHK,apartment,₹ 88 L,Under Construction,"Gated Society, Safe & Secure Locality, Family"
Ramky One Orbit,Nallagandla,1180,2 BHK,,₹ 1.02 Cr,Under Construction,"Prime Location, Safe & Secure Locality, Affordable, Family"
Vian One,Kollur,1455,803 BHK,apartment,₹ 72.75 L,Under Construction,"Prime Location, Gated Society"
MCOR Vilaasam,Ameenpur,1500,3 BHK,,₹ 87 L,Ready To Move,Gated Society
My Home Bhooja,Hi Tech City,2680,3 BHK,apartment,₹ 6.99 Cr,Ready To Move,Family
Praneeth Pranav Xperia,Annojiguda,1469,3 BHK,apartment,₹ 67.55 L,Ready To Move,
Sukhii Sree Sumeru,Uppal,2008,3 BHK,,₹ 1.38 Cr,Ready To Move,Prime Location
Western Springs,Puppalaguda,2451,3 BHK,,₹ 2.32 Cr,Under Construction,"Prime Location, Gated Society, Safe & Secure Locality"
Myscape Sanctuary,Hafeezpet,1250,2 BHK,,₹ 1.31 Cr,Ready To Move,Prime Location
Urbanrise The World of Joy,Miyapur,1333,5 BHK,,₹ 1.05 Cr,Under Construction,
Poulomi Avante,Kokapet,1840,3 BHK,apartment,₹ 1.8 Cr,Ready To Move,Family
Srigdhas Rising East,Pocharam,1220,2 BHK,apartment,₹ 60 L,Ready To Move,Family
Sadar Nagar,Sadar Nagar,1700,3 BHK,apartment,₹ 93 L,Ready To Move,
Swapnas Navya Classic,Bachupally,1494,5 BHK,,₹ 74.7 L,Under Construction,"Gated Society, Affordable, Family"
Aspire Spaces Ameya,Miyapur,1940,3 BHK,apartment,₹ 1.22 Cr,Ready To Move,
Aakriti Miro,Nallagandla,1935,3 BHK,,₹ 1.37 Cr,Under Construction,"Gated Society, Family"
Northstar SP Palacio,Abids,4050,4 BHK,apartment,₹ 5.67 Cr,Under Construction,
Rajapushpa Infina,Manchirevula,3080,3 BHK,,₹ 2.67 Cr,Under Construction,"Affordable, Family"
Poulomi Anate,Kokapet,1961,3 BHK,,₹ 1.99 Cr,Ready To Move,"Affordable, Family"
GHR Callisto,Kollur,1430,3 BHK,,₹ 88.64 L,Under Construction,"Affordable, Family"
Aurobindo Kohinoor,Serilingampally,1431,5 BHK,apartment,₹ 1.96 Cr,Ready To Move,Family
Urbanrise On Cloud,Bachupally,1353,333 BHK,,₹ 1.00 Cr,Under Construction,"Affordable, Family"
Anvita High,Kollur,1695,93 BHK,apartment,₹ 1.03 Cr,Under Construction,"Prime Location, Family"
Vision Arsha,Tellapur,1625,3 BHK,apartment,₹ 1.21 Cr,Under Construction,"Prime Location, Affordable, Family"
